STATION,NAME,LONGITUDE,LATITUDE
14002809102,Levey Creek,-81.19623523320,46.52354214147
06008000702,Etobicoke Creek West,-79.67950823179,43.67833163882
19006400502,Abitibi River,-80.67707698272,48.77551239356
19006400602,Abitibi River,-80.67018935771,48.76184826855
19006402202,Abitibi River,-81.06696285808,49.29755164405
19006402302,Abitibi River,-80.86297960789,49.05883626883
19006403002,Abitibi River,-80.95679110798,49.18738764395
19006403102,Abitibi River,-80.66765598271,48.76170001855
19006403202,Abitibi River,-80.67278898272,48.75721701855
19006403602,Abitibi River,-81.40833635840,50.64408089530
19005300102,Albany River,-86.39293098804,51.65119202124
19005300302,Albany River,-83.38937798525,51.34785002096
19001800202,Asheweig River,-87.82164886437,53.79996589824
19004300102,Attawapiskat River,-85.06488318684,53.09002631643
19000103202,Balmer Creek,-93.73668136988,51.02976439566
19000800702,Big Trout Lake,-89.86392749128,53.82505839827
19006400702,Black River,-80.46401885752,48.53937426834
19005300502,Cat River,-91.61912111791,51.15395327078
19006404102,Cochrane Landfill Drainage,-81.02593548305,49.08055751885
19006404202,Cochrane Landfill Drainage,-81.02982885805,49.07820676884
19006404302,Cochrane Landfill Drainage,-81.02598360805,49.07492864384
19006404402,Cochrane Landfill Drainage,-81.02483223304,49.07565551884
19006404702,Driftwood River,-80.68703510773,48.53778789334
19004300202,Ekwan River,-89.60193811603,51.82381977140
19000800202,Fawn River,-89.56245649100,53.76141064821
19006401802,Five Mile Creek,-83.25624048512,49.61211639434
19006401702,Gough Creek,-82.40849023433,49.39950339414
19006401602,Groundhog River,-82.04172110899,49.31332026906
19000103301,Howey Bay,-93.81785524496,51.02265777066
19006401902,Ivanhoe River,-82.44805748437,48.24746214307
19006400902,Kapuskasing River,-82.43345185936,49.40634539415
19006401002,Kapuskasing River,-82.44651098437,49.44713251919
19006402402,Kapuskasing River,-82.32004360925,49.57271389431
19006402902,Kapuskasing River,-82.35793835929,49.55727001929
19006403402,Kapuskasing River,-82.42961335935,49.41037789415
19006403502,Kapuskasing River,-82.25164448419,49.62622614436
19006404002,Kapuskasing River,-82.48117560940,49.36403926911
19005300602,Kenogami River,-84.37947798617,50.40926702008
19006403802,Kwataboahegan River,-80.83116810786,51.15235139578
19005300202,Little Current River,-86.51496911316,50.66096477032
19006400102,Mattagami River,-81.36039560836,48.49387351830
19006400202,Mattagami River,-81.35029148335,48.47605801828
19006401102,Mattagami River,-81.63906873362,49.27596026903
19006401202,Mattagami River,-81.63857160862,49.29270901904
19006401420,Mattagami River,-81.35320185835,48.47479376828
19006403302,Mattagami River,-81.65359310863,49.44903714419
19006403902,Mattagami River,-81.62756998361,49.36280526911
19006402702,Mattawishkwia River,-83.54113186039,49.64457614437
19006400802,Mattawishkwia River,-83.63317811047,49.68504651941
19006402502,Mattawishkwia River,-83.72365023556,49.68171201941
19006402602,Mattawishkwia River,-83.74527823558,49.59329651932
19006401302,Missinaibi River,-83.26863973513,49.61499239434
19006402002,Nebskwashi River,-83.36970986023,47.85066151770
19006402102,Nebskwashi River,-83.39563211025,47.84003839269
19006404602,North Driftwood Creek,-80.74202535778,48.53771676834
19006403702,North French River,-80.76499035780,51.10609264573
19005300402,Ogoki River,-88.84998511533,50.93177889557
19004300302,Pineimuta River,-88.69048886518,52.20281327175
19001800302,Pipestone River,-90.18121886657,52.57062864710
19006400302,Porcupine River,-81.17503685818,48.49504451830
19006400402,Porcupine River,-81.05480485807,48.54983826835
19006404502,Porcupine River,-81.22226798323,48.48242451829
19000103401,Rainy River,-93.30349361948,48.65264439345
19000103902,Rainy River,-93.36358324454,48.61327864341
19000800302,Roseberry River,-92.59748099382,52.73312277225
19000800602,Sachigo River,-84.25738098605,53.10455802259
19000800802,Sandy Lake,-93.24479374442,53.03085652253
19000800102,Severn River,-91.81571586809,53.29997452278
19000800402,Severn River,-94.15277499527,52.71781577223
19001800102,Shamattawa River,-87.29166698888,54.65422502404
19000103702,Snib Creek,-93.88552287002,51.01302439565
19000103502,Wabigoon River,-93.09036536928,49.85100476956
19000103602,Wabigoon River,-93.40124274457,49.95861226966
19000103802,Wabigoon River,-92.87398374408,49.81511964453
19000800502,Windigo River,-91.82078774310,53.29393102277
01000000101,Lake Superior,-89.17889024064,48.44882926826
01000000201,Lake Superior,-89.19999936566,48.39349401821
01000000301,Lake Superior,-89.20470774066,48.34985039317
01000000401,Lake Superior,-89.16637824063,48.44826264326
01000000501,Lake Superior,-89.15968749062,48.46950026828
01000000601,Lake Superior,-89.16531911563,48.46448876827
01000000701,Lake Superior,-89.08584986555,48.39646001821
01000000801,Lake Superior,-89.02358986549,48.32560001814
01000001001,Lake Superior,-89.16320986562,48.37299001819
01000001101,Lake Superior,-89.16459986562,48.42155001823
01000001201,Lake Superior,-89.19507286565,48.34083889316
01000001301,Lake Superior (Nipigon Bay),-88.24701961477,48.95745889373
01000001401,Lake Superior (Nipigon Bay),-88.23800523976,48.94213664372
01000001501,Lake Superior,-88.18014973971,48.92638214370
01000001601,Lake Superior (Jackfish Bay),-86.96132686357,48.81014851859
01000001701,Lake Superior (Jackfish Bay),-87.00267436361,48.81250564360
01000001801,Lake Superior,-86.99998823861,48.80840914359
01000001901,Lake Superior,-86.43331611308,48.72389076851
01000002001,Lake Superior,-86.39714073805,48.71173301850
01000100102,Silver Creek,-84.76807211153,47.01804351693
01000900102,Montreal River,-84.64523898642,47.23823651713
01001200102,Agawa River,-84.63681148641,47.35789089224
01001400102,Sand River,-84.73125886150,47.43214126731
